region,region_ar,year,metric,value
Jazan,جازان,2023,vehicles_new,10906
Jazan,جازان,2024,vehicles_new,14115
Madinah,المدينة المنورة,2020,vehicles_new,8018
Madinah,المدينة المنورة,2021,vehicles_new,12182
Madinah,المدينة المنورة,2022,vehicles_new,12056
Madinah,المدينة المنورة,2023,vehicles_new,16576
Madinah,المدينة المنورة,2024,vehicles_new,21185
Makkah,مكة المكرمة,2020,vehicles_new,46568
Makkah,مكة المكرمة,2021,vehicles_new,59089
Makkah,مكة المكرمة,2022,vehicles_new,61007
Makkah,مكة المكرمة,2023,vehicles_new,92419
Makkah,مكة المكرمة,2024,vehicles_new,117050
Najran,نجران,2020,vehicles_new,5497
Najran,نجران,2021,vehicles_new,4421
Najran,نجران,2022,vehicles_new,4872
Najran,نجران,2023,vehicles_new,6865
Najran,نجران,2024,vehicles_new,8061
Northern Borders,الحدود الشمالية,2020,vehicles_new,1676
Northern Borders,الحدود الشمالية,2021,vehicles_new,1582
Northern Borders,الحدود الشمالية,2022,vehicles_new,1198
Northern Borders,الحدود الشمالية,2023,vehicles_new,1805
Northern Borders,الحدود الشمالية,2024,vehicles_new,2114
Qassim,القصيم,2020,vehicles_new,22258
Qassim,القصيم,2021,vehicles_new,25894
Qassim,القصيم,2022,vehicles_new,23131
Qassim,القصيم,2023,vehicles_new,25075
Qassim,القصيم,2024,vehicles_new,23235
Riyadh,الرياض,2020,vehicles_new,134532
Riyadh,الرياض,2021,vehicles_new,150168
Riyadh,الرياض,2022,vehicles_new,145794
Riyadh,الرياض,2023,vehicles_new,189041
Riyadh,الرياض,2024,vehicles_new,266936
Tabuk,تبوك,2020,vehicles_new,4317
Tabuk,تبوك,2021,vehicles_new,5382
Tabuk,تبوك,2022,vehicles_new,4628
Tabuk,تبوك,2023,vehicles_new,5049
Tabuk,تبوك,2024,vehicles_new,5471
Al-Baha,الباحة,2020,vehicles_renewal,16970
Al-Baha,الباحة,2021,vehicles_renewal,10724
Al-Baha,الباحة,2022,vehicles_renewal,11010
Al-Baha,الباحة,2023,vehicles_renewal,11837
Al-Baha,الباحة,2024,vehicles_renewal,12571
Al-Jouf,الجوف,2020,vehicles_renewal,23001
Al-Jouf,الجوف,2021,vehicles_renewal,17861
Al-Jouf,الجوف,2022,vehicles_renewal,19940
Al-Jouf,الجوف,2023,vehicles_renewal,19639
Al-Jouf,الجوف,2024,vehicles_renewal,23602
Aseer,عسير,2020,vehicles_renewal,84151
Aseer,عسير,2021,vehicles_renewal,61302
Aseer,عسير,2022,vehicles_renewal,64696
Aseer,عسير,2023,vehicles_renewal,68553
Aseer,عسير,2024,vehicles_renewal,79058
Eastern,المنطقة الشرقية,2020,vehicles_renewal,375087
Eastern,المنطقة الشرقية,2021,vehicles_renewal,303085
Eastern,المنطقة الشرقية,2022,vehicles_renewal,327503
Eastern,المنطقة الشرقية,2023,vehicles_renewal,323787
Eastern,المنطقة الشرقية,2024,vehicles_renewal,366577
Hail,حائل,2020,vehicles_renewal,27967
Hail,حائل,2021,vehicles_renewal,21601
Hail,حائل,2022,vehicles_renewal,23165
Hail,حائل,2023,vehicles_renewal,22586
Hail,حائل,2024,vehicles_renewal,26486
Jazan,جازان,2020,vehicles_renewal,37716
Jazan,جازان,2021,vehicles_renewal,26074
Jazan,جازان,2022,vehicles_renewal,27770
Jazan,جازان,2023,vehicles_renewal,29803
Jazan,جازان,2024,vehicles_renewal,34552
Madinah,المدينة المنورة,2020,vehicles_renewal,55402
Madinah,المدينة المنورة,2021,vehicles_renewal,37569
Madinah,المدينة المنورة,2022,vehicles_renewal,40773
Madinah,المدينة المنورة,2023,vehicles_renewal,39978
Madinah,المدينة المنورة,2024,vehicles_renewal,48402
Makkah,مكة المكرمة,2020,vehicles_renewal,426231
Makkah,مكة المكرمة,2021,vehicles_renewal,304459
Makkah,مكة المكرمة,2022,vehicles_renewal,326687
Makkah,مكة المكرمة,2023,vehicles_renewal,315668
Makkah,مكة المكرمة,2024,vehicles_renewal,364938
Najran,نجران,2020,vehicles_renewal,21020
Najran,نجران,2021,vehicles_renewal,17042
Najran,نجران,2022,vehicles_renewal,17412
Najran,نجران,2023,vehicles_renewal,19214
Najran,نجران,2024,vehicles_renewal,21938
Northern Borders,الحدود الشمالية,2020,vehicles_renewal,10718
Northern Borders,الحدود الشمالية,2021,vehicles_renewal,8003
Northern Borders,الحدود الشمالية,2022,vehicles_renewal,8516
Northern Borders,الحدود الشمالية,2023,vehicles_renewal,9018
Northern Borders,الحدود الشمالية,2024,vehicles_renewal,10141
Qassim,القصيم,2020,vehicles_renewal,81680
Qassim,القصيم,2021,vehicles_renewal,59058
Qassim,القصيم,2022,vehicles_renewal,66964
Qassim,القصيم,2023,vehicles_renewal,71353
Qassim,القصيم,2024,vehicles_renewal,82928
Riyadh,الرياض,2020,vehicles_renewal,558342
Riyadh,الرياض,2021,vehicles_renewal,418962
Riyadh,الرياض,2022,vehicles_renewal,487787
Riyadh,الرياض,2023,vehicles_renewal,490581
Riyadh,الرياض,2024,vehicles_renewal,562097
Tabuk,تبوك,2020,vehicles_renewal,30841
Tabuk,تبوك,2021,vehicles_renewal,22699
Tabuk,تبوك,2022,vehicles_renewal,23393
Tabuk,تبوك,2023,vehicles_renewal,24961
Tabuk,تبوك,2024,vehicles_renewal,28071
Al-Baha,الباحة,2020,licenses_new,5843
Al-Baha,الباحة,2021,licenses_new,8336
Al-Baha,الباحة,2022,licenses_new,13075
Al-Baha,الباحة,2023,licenses_new,11747
Al-Baha,الباحة,2024,licenses_new,12512
Al-Jouf,الجوف,2020,licenses_new,9069
Al-Jouf,الجوف,2021,licenses_new,14324
Al-Jouf,الجوف,2022,licenses_new,17746
Al-Jouf,الجوف,2023,licenses_new,15639
Al-Jouf,الجوف,2024,licenses_new,15805
Aseer,عسير,2020,licenses_new,36408
Aseer,عسير,2021,licenses_new,59495
Aseer,عسير,2022,licenses_new,65277
Aseer,عسير,2023,licenses_new,69192
Aseer,عسير,2024,licenses_new,73106
Eastern,المنطقة الشرقية,2020,licenses_new,113610
Eastern,المنطقة الشرقية,2021,licenses_new,162452
Eastern,المنطقة الشرقية,2022,licenses_new,187164
Eastern,المنطقة الشرقية,2023,licenses_new,211378
Eastern,المنطقة الشرقية,2024,licenses_new,207868
Hail,حائل,2020,licenses_new,7977
Hail,حائل,2021,licenses_new,13367
Hail,حائل,2022,licenses_new,14259
Hail,حائل,2023,licenses_new,14023
Hail,حائل,2024,licenses_new,12958
Jazan,جازان,2020,licenses_new,14623
Jazan,جازان,2021,licenses_new,22406
Jazan,جازان,2022,licenses_new,25569
Jazan,جازان,2023,licenses_new,38098
Jazan,جازان,2024,licenses_new,38408
Madinah,المدينة المنورة,2020,licenses_new,25320
Madinah,المدينة المنورة,2021,licenses_new,40140
Madinah,المدينة المنورة,2022,licenses_new,48380
Madinah,المدينة المنورة,2023,licenses_new,52438
Madinah,المدينة المنورة,2024,licenses_new,55643
Makkah,مكة المكرمة,2020,licenses_new,116807
Makkah,مكة المكرمة,2021,licenses_new,165145
Makkah,مكة المكرمة,2022,licenses_new,181711
Makkah,مكة المكرمة,2023,licenses_new,218167
Makkah,مكة المكرمة,2024,licenses_new,255964
Najran,نجران,2020,licenses_new,10045
Najran,نجران,2021,licenses_new,12553
Najran,نجران,2022,licenses_new,14261
Najran,نجران,2023,licenses_new,16794
Najran,نجران,2024,licenses_new,17635
Northern Borders,الحدود الشمالية,2020,licenses_new,5103
Northern Borders,الحدود الشمالية,2021,licenses_new,7209
Northern Borders,الحدود الشمالية,2022,licenses_new,9778
Northern Borders,الحدود الشمالية,2023,licenses_new,24735
Northern Borders,الحدود الشمالية,2024,licenses_new,20206
Qassim,القصيم,2020,licenses_new,26943
Qassim,القصيم,2021,licenses_new,39325
Qassim,القصيم,2022,licenses_new,45653
Qassim,القصيم,2023,licenses_new,43412
Qassim,القصيم,2024,licenses_new,44046
Riyadh,الرياض,2020,licenses_new,193080
Riyadh,الرياض,2021,licenses_new,257099
Riyadh,الرياض,2022,licenses_new,305998
Riyadh,الرياض,2023,licenses_new,435904
Riyadh,الرياض,2024,licenses_new,471526
Tabuk,تبوك,2020,licenses_new,15320
Tabuk,تبوك,2021,licenses_new,24448
Tabuk,تبوك,2022,licenses_new,31587
Tabuk,تبوك,2023,licenses_new,39888
Tabuk,تبوك,2024,licenses_new,44836
Al-Baha,الباحة,2020,licenses_renewal,3447
Al-Baha,الباحة,2021,licenses_renewal,2337
Al-Baha,الباحة,2022,licenses_renewal,1675
Al-Baha,الباحة,2023,licenses_renewal,1454
Al-Baha,الباحة,2024,licenses_renewal,1791
Al-Jouf,الجوف,2020,licenses_renewal,3281
Al-Jouf,الجوف,2021,licenses_renewal,3607
Al-Jouf,الجوف,2022,licenses_renewal,2880
Al-Jouf,الجوف,2023,licenses_renewal,5454
Al-Jouf,الجوف,2024,licenses_renewal,6044
Aseer,عسير,2020,licenses_renewal,11024
Aseer,عسير,2021,licenses_renewal,12771
Aseer,عسير,2022,licenses_renewal,11367
Aseer,عسير,2023,licenses_renewal,10237
Aseer,عسير,2024,licenses_renewal,14502
Eastern,المنطقة الشرقية,2020,licenses_renewal,43008
Eastern,المنطقة الشرقية,2021,licenses_renewal,45555
Eastern,المنطقة الشرقية,2022,licenses_renewal,40893
Eastern,المنطقة الشرقية,2023,licenses_renewal,41483
Eastern,المنطقة الشرقية,2024,licenses_renewal,49949
Hail,حائل,2020,licenses_renewal,4765
Hail,حائل,2021,licenses_renewal,4578
Hail,حائل,2022,licenses_renewal,4256
Hail,حائل,2023,licenses_renewal,4602
Hail,حائل,2024,licenses_renewal,5812
Jazan,جازان,2020,licenses_renewal,2268
Jazan,جازان,2021,licenses_renewal,2769
Jazan,جازان,2022,licenses_renewal,2974
Jazan,جازان,2023,licenses_renewal,2903
Jazan,جازان,2024,licenses_renewal,3845
Madinah,المدينة المنورة,2020,licenses_renewal,6146
Madinah,المدينة المنورة,2021,licenses_renewal,7019
Madinah,المدينة المنورة,2022,licenses_renewal,6852
Madinah,المدينة المنورة,2023,licenses_renewal,6886
Madinah,المدينة المنورة,2024,licenses_renewal,9683
Makkah,مكة المكرمة,2020,licenses_renewal,19722
Makkah,مكة المكرمة,2021,licenses_renewal,22781
Makkah,مكة المكرمة,2022,licenses_renewal,21896
Makkah,مكة المكرمة,2023,licenses_renewal,24954
Makkah,مكة المكرمة,2024,licenses_renewal,27903
Najran,نجران,2020,licenses_renewal,4682
Najran,نجران,2021,licenses_renewal,4074
Najran,نجران,2022,licenses_renewal,3967
Najran,نجران,2023,licenses_renewal,3974
Najran,نجران,2024,licenses_renewal,4381
Northern Borders,الحدود الشمالية,2020,licenses_renewal,3872
Northern Borders,الحدود الشمالية,2021,licenses_renewal,4385
Northern Borders,الحدود الشمالية,2022,licenses_renewal,3420
Northern Borders,الحدود الشمالية,2023,licenses_renewal,2335
Northern Borders,الحدود الشمالية,2024,licenses_renewal,2864
Qassim,القصيم,2020,licenses_renewal,8776
Qassim,القصيم,2021,licenses_renewal,8548
Qassim,القصيم,2022,licenses_renewal,7389
Qassim,القصيم,2023,licenses_renewal,7170
Qassim,القصيم,2024,licenses_renewal,9551
Riyadh,الرياض,2020,licenses_renewal,55095
Riyadh,الرياض,2021,licenses_renewal,51202
Riyadh,الرياض,2022,licenses_renewal,46711
Riyadh,الرياض,2023,licenses_renewal,38437
Riyadh,الرياض,2024,licenses_renewal,44759
Tabuk,تبوك,2020,licenses_renewal,5353
Tabuk,تبوك,2021,licenses_renewal,5987
Tabuk,تبوك,2022,licenses_renewal,4695
Tabuk,تبوك,2023,licenses_renewal,5096
Tabuk,تبوك,2024,licenses_renewal,6183
Al-Baha,الباحة,2020,road_density_per_capita,
Al-Baha,الباحة,2021,road_density_per_capita,
Al-Baha,الباحة,2022,road_density_per_capita,
Al-Baha,الباحة,2023,road_density_per_capita,
