region,year,injuries,deaths,severe_in_city,severe_out_city,severe_total,vehicles_new,vehicles_renewal,licenses_new,licenses_renewal,road_density_per_capita,road_density_per_area,vehicles_total,licenses_total,deaths_per_1k_vehicles,injuries_per_1k_vehicles,severe_per_1k_vehicles,fatality_ratio,region_ar
Northern Borders,2021,366.0,56.0,,,234.0,1582,8003,7209,4385,,,9585,11594,5.84246218049035,38.18466353677621,24.413145539906104,0.1327014218009478,الحدود الشمالية
Northern Borders,2022,362.0,54.0,,,254.0,1198,8516,9778,3420,,,9714,13198,5.558987029030265,37.26580193535104,26.14782787729051,0.1298076923076923,الحدود الشمالية
Northern Borders,2023,262.0,51.0,,,206.0,1805,9018,24735,2335,,,10823,27070,4.712187009147187,24.20770581169731,19.03353968400629,0.1629392971246006,الحدود الشمالية
Northern Borders,2024,222.0,45.0,131.0,47.0,178.0,2114,10141,20206,2864,0.0176513062099925,0.0775105970289745,12255,23070,3.6719706242350063,18.115055079559365,14.52468380252958,0.1685393258426966,الحدود الشمالية
Qassim,2020,1265.0,214.0,,,,22258,81680,26943,8776,,,103938,35719,2.058919740614597,12.170717158305912,,0.1446923597025017,القصيم
Qassim,2021,1168.0,266.0,,,854.0,25894,59058,39325,8548,,,84952,47873,3.131179960448253,13.74894057820887,10.05273566249176,0.1854951185495118,القصيم
Qassim,2022,1150.0,221.0,,,790.0,23131,66964,45653,7389,,,90095,53042,2.452966313335923,12.764304345413176,8.768522115544704,0.1611962071480671,القصيم
Qassim,2023,1069.0,223.0,,,695.0,25075,71353,43412,7170,,,96428,50582,2.312606296926204,11.085991620691086,7.207450118222923,0.1726006191950464,القصيم
Qassim,2024,919.0,196.0,395.0,268.0,663.0,23235,82928,44046,9551,0.0171870214471163,0.3558963048831475,106163,53597,1.8462176087714173,8.656499910514963,6.245113645997193,0.1757847533632287,القصيم
Riyadh,2020,4286.0,971.0,,,,134532,558342,193080,55095,,,692874,248175,1.4014092028276426,6.185828880864341,,0.1847061061441887,الرياض
Riyadh,2021,4552.0,1035.0,,,3621.0,150168,418962,257099,51202,,,569130,308301,1.818565178430236,7.998172649482544,6.362342522797955,0.1852514766422051,الرياض
Riyadh,2022,4585.0,960.0,,,3303.0,145794,487787,305998,46711,,,633581,352709,1.5151969519287982,7.236643775618271,5.213224512730022,0.1731289449954914,الرياض
Riyadh,2023,4646.0,956.0,,,3315.0,189041,490581,435904,38437,,,679622,474341,1.4066642927980553,6.8361530380123074,4.877711433708738,0.170653338093538,الرياض
Riyadh,2024,5503.0,953.0,3150.0,1046.0,4196.0,266936,562097,471526,44759,0.0064880282922965,0.1619940283517024,829033,516285,1.1495320451658742,6.637853981687098,5.061318427613859,0.1476146220570012,الرياض
Tabuk,2020,801.0,201.0,,,,4317,30841,15320,5353,,,35158,20673,5.717048751351044,22.782865919563115,,0.2005988023952095,تبوك
Tabuk,2021,649.0,200.0,,,522.0,5382,22699,24448,5987,,,28081,30435,7.1222534810013896,23.111712545849507,18.589081585413624,0.2355712603062426,تبوك
Tabuk,2022,529.0,193.0,,,371.0,4628,23393,31587,4695,,,28021,36282,6.887691374326399,18.878698119267693,13.240069947539348,0.2673130193905817,تبوك
Tabuk,2023,487.0,207.0,,,345.0,5049,24961,39888,5096,,,30010,44984,6.897700766411196,16.227924025324892,11.49616794401866,0.2982708933717579,تبوك
Tabuk,2024,799.0,234.0,207.0,265.0,472.0,5471,28071,44836,6183,0.0154597212669505,0.1095251822691501,33542,51019,6.976328185558404,23.82088128316737,14.071909844374217,0.2265246853823814,تبوك
